Projeto,Hash,Data,Autor,Mensagem
Electrical-System-Simulator,eb9047a6,2026-05-29,Pedro Victor Veras,Create START_HERE.md
Electrical-System-Simulator,b8ee972d,2026-05-29,Pedro Victor Veras,update de cores
Electrical-System-Simulator,933268d4,2026-05-29,Pedro Victor Veras,up
Electrical-System-Simulator,d182dc8e,2026-05-29,Pedro Victor Veras,update
Electrical-System-Simulator,865ac796,2026-05-29,Pedro Victor Veras,Update page.jsx
Electrical-System-Simulator,552bc53c,2026-05-29,Pedro Victor Veras,Update page.jsx
Electrical-System-Simulator,0036355d,2026-05-29,Pedro Victor Veras,Update page.jsx
Electrical-System-Simulator,3ea550fd,2026-05-29,Pedro Victor Veras,Update page.jsx
Electrical-System-Simulator,ebf4d522,2026-05-19,Pedro Victor Veras,update
Electrical-System-Simulator,59a6209a,2026-04-15,Pedro Victor Veras,Update page.jsx
Gohan-Treinamentos-Desktop-App,ab974f5,2026-03-31,Pedro Victor Veras,Create tauri-todo-desktop-app
Gohan-Treinamentos-Desktop-App,8f19d1f,2026-03-24,Pedro Victor Veras,up
Gohan-Treinamentos-Desktop-App,d3aabf6,2026-03-23,Pedro Victor Veras,up
Gohan-Treinamentos-Desktop-App,f43f42d,2026-03-11,Pedro Victor Veras,up
Gohan-Treinamentos-Desktop-App,47d02c1,2026-03-11,Pedro Victor Veras,up
Gohan-Treinamentos-Desktop-App,f20162f,2026-03-11,Pedro Victor Veras,Create tauri_mvc_vanilla_mui3.zip
Gohan-Treinamentos-Desktop-App,2174378,2026-03-11,Pedro Victor Veras,Initial commit
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,59a7872c,2026-06-02,Pedro Victor Veras,up
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,22b815de,2026-06-02,Pedro Victor Veras,update
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,3194487c,2026-05-29,Pedro Victor Veras,Update kanban-29-05-2026.xlsx
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,1f7b3004,2026-05-29,Pedro Victor Veras,Create kanban-29-05-2026.xlsx
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,b6716490,2026-05-29,Pedro Victor Veras,Create ONS-PLC-2026.excalidraw
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,3182b79a,2026-05-29,Pedro Victor Veras,Update RelatorioProjetosGithub.ipynb
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,9f47b26c,2026-05-29,Pedro Victor Veras,new
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,8918251b,2026-05-29,Pedro Victor Veras,UP
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,7922aeba,2026-05-27,Pedro Victor Veras,up
ONS-PLC-PV-CONTROLE-E-AUTOMACAO,c146bcc1,2026-05-26,Pedro Victor Veras,up
Pikachu-Flask-Server,99d3db0,2026-06-03,Pedro Victor Veras,Update batcaverna_pv.md
Pikachu-Flask-Server,ed9e694,2026-06-02,Pedro Victor Veras,Atualizar o batcaverna_pv.md
Pikachu-Flask-Server,a9c1613,2026-06-02,Pedro Victor Veras,Update batcaverna_pv.md
Pikachu-Flask-Server,45dd48e,2026-05-30,Pedro Victor Veras,update backup de arquivos pesosais
Pikachu-Flask-Server,9afb177,2026-05-30,Pedro Victor Veras,up
Pikachu-Flask-Server,34f0728,2026-05-29,Pedro Victor Veras,up
Pikachu-Flask-Server,4619c4a,2026-05-29,Pedro Victor Veras,up
Pikachu-Flask-Server,3b4fc7a,2026-05-29,Pedro Victor Veras,new template
Pikachu-Flask-Server,6de7519,2026-05-26,Pedro Victor Veras,Atualizar o batcaverna_pv.md
Pikachu-Flask-Server,4a9b3b2,2026-05-26,Pedro Victor Veras,Atualizar o batcaverna_pv.md
Repopulation-With-Elite-Set,967f2e70,2026-06-03,Pedro Victor Veras,update stable version with bug fixes in timelines
Repopulation-With-Elite-Set,683e0f65,2026-05-29,Pedro Victor Veras,Delete streamlit_v2_launch.log
Repopulation-With-Elite-Set,9bd855ea,2026-05-28,Pedro Victor Veras,new version 2.1.3
Repopulation-With-Elite-Set,2678e287,2026-05-28,Pedro Victor Veras,Update options.json
Repopulation-With-Elite-Set,cafbcb61,2026-05-28,Pedro Victor Veras,up
Repopulation-With-Elite-Set,f5f96763,2026-05-27,Pedro Victor Veras,Update RCE_Framework_Page.py
Repopulation-With-Elite-Set,f4c8e2ec,2026-05-27,Pedro Victor Veras,up
Repopulation-With-Elite-Set,3753f985,2026-05-27,Pedro Victor Veras,up
Repopulation-With-Elite-Set,965db399,2026-05-27,Pedro Victor Veras,up
Repopulation-With-Elite-Set,15480956,2026-05-27,Pedro Victor Veras,bug fixes
Websites-Astro-Templates,17885ba,2026-05-29,Pedro Victor Veras,new update
Websites-Astro-Templates,15c11d7,2026-05-29,Pedro Victor Veras,Create README.md
Websites-Astro-Templates,be9d692,2026-05-29,Pedro Victor Veras,up
Websites-Astro-Templates,b02db03,2026-05-29,Pedro Victor Veras,new update
Websites-Astro-Templates,e416f97,2026-05-11,Pedro Victor Veras,up
Websites-Astro-Templates,a4fa395,2026-04-29,Pedro Victor Veras,up
Websites-Astro-Templates,4b5ea9c,2026-04-22,Pedro Victor Veras,Update index.astro
Websites-Astro-Templates,09d86c9,2026-04-20,Pedro Victor Veras,update final
Websites-Astro-Templates,a3fc8a5,2026-04-20,Pedro Victor Veras,up
Websites-Astro-Templates,3820397,2026-04-20,Pedro Victor Veras,Update InsightMarkdown.astro
dashboard-website-template,3a42e7c,2026-05-27,Pedro Victor Veras,up
dashboard-website-template,666f63d,2026-04-28,Pedro Victor Veras,up
dashboard-website-template,158d8e5,2026-04-22,Pedro Victor Veras,up
dashboard-website-template,309b215,2026-04-15,Pedro Victor Veras,uo
dashboard-website-template,06313cc,2026-03-24,Pedro Victor Veras,Update index.html
dashboard-website-template,e769d6f,2026-03-17,Pedro Victor Veras,up
dashboard-website-template,2c4f3ee,2026-03-13,Pedro Victor Veras,up
dashboard-website-template,636fcbf,2026-03-11,Pedro Victor Veras,Update ons_dashboard_PLC_control.html
dashboard-website-template,96fee5d,2026-03-11,Pedro Victor Veras,up
dashboard-website-template,ecaa184,2026-03-11,Pedro Victor Veras,up novas telas com tech MUI em html puro
